X,Y,Z,formation
0,0,200,rock1
0,10,200,rock1
0,20,200,rock1
400,0,600,rock1
400,10,600,rock1
400,20,600,rock1
200,0,400,rock1
200,10,400,rock1
200,20,400,rock1
800,0,400,rock1
800,10,400,rock1
800,20,400,rock1
600,0,600,rock1
600,10,600,rock1
600,20,600,rock1
1000,0,200,rock1
1000,10,200,rock1
1000,20,200,rock1
0,0,400,rock2
0,10,400,rock2
0,20,400,rock2
1000,0,400,rock2
1000,10,400,rock2
1000,20,400,rock2
400,0,800,rock2
400,10,800,rock2
400,20,800,rock2
200,0,600,rock2
200,10,600,rock2
200,20,600,rock2
600,0,800,rock2
600,10,800,rock2
600,20,800,rock2
800,0,600,rock2
800,10,600,rock2
800,20,600,rock2

