X,Y,Z,Property
1937.5,0.8333333,1138.0802,7.475678833193271
137.5,0.8333333,585.7595,25.067943649568214
737.5,0.8333333,912.1308,11.413537773813848
887.5,0.8333333,1138.0802,21.40091063931349
2187.5,0.8333333,1012.5527300000001,10.820031515361878
87.5,0.8333333,711.2869,16.20674609988803
2187.5,0.8333333,962.3418,12.054931641726023
812.5,0.8333333,987.4472699999999,18.4859340310963
2162.5,0.8333333,962.3418,10.05191577627428
412.5,0.8333333,836.8143299999999,17.92326553423662
2587.5,0.8333333,761.49786,17.76618370057125
962.5,0.8333333,1062.7637,18.54497104087429
712.5,0.8333333,962.3418,16.094119016072895
1387.5,0.8333333,1138.0802,19.921393095733436
1512.5,0.8333333,1263.6075,25.71169191918771
1387.5,0.8333333,1213.3966,25.425832005624194
312.5,0.8333333,686.18146,12.034987889259924
637.5,0.8333333,887.0253,18.56129275250599
987.5,0.8333333,1138.0802,15.942804047929332
1362.5,0.8333333,1288.7131,31.329624134845233
112.5,0.8333333,535.5485,31.446999667836977
837.5,0.8333333,962.3418,13.440838270562768
2112.5,0.8333333,987.4472699999999,12.524095920220997
1987.5,0.8333333,1037.6582,7.777450382675269
2537.5,0.8333333,786.6034,17.51066188150602
2487.5,0.8333333,887.0253,18.846060449169126
2837.5,0.8333333,661.0759,22.410257455707594
2462.5,0.8333333,861.91986,18.52642417799819
2237.5,0.8333333,1037.6582,6.745418203788089
1137.5,0.8333333,1213.3966,22.98600586290866
1012.5,0.8333333,1188.2911,14.689947765013097
2737.5,0.8333333,635.97046,23.18276078974886
2837.5,0.8333333,711.2869,19.58049959020182
37.5,0.8333333,535.5485,23.63990946752574
2912.5,0.8333333,560.654,16.212646374810863
862.5,0.8333333,1012.5527300000001,15.306623400048167
637.5,0.8333333,962.3418,15.943529021579842
2162.5,0.8333333,1062.7637,4.818926744876611
1262.5,0.8333333,1163.1857,20.377056638821866
2637.5,0.8333333,786.6034,18.965535919259843
2437.5,0.8333333,912.1308,19.664080802359727
1712.5,0.8333333,1288.7131,16.725720665037375
737.5,0.8333333,1062.7637,17.275143745251565
1862.5,0.8333333,1112.9747,12.735255631214537
912.5,0.8333333,1112.9747,24.06687133020518
2187.5,0.8333333,937.2362699999999,15.358066316392264
1437.5,0.8333333,1163.1857,26.406961093972413
187.5,0.8333333,585.7595,20.452390927453983
1787.5,0.8333333,1138.0802,9.74312833137025
687.5,0.8333333,987.4472699999999,21.023289029748625
12.5,0.8333333,610.865,16.338444619678402
162.5,0.8333333,686.18146,9.101909764404311
337.5,0.8333333,836.8143299999999,16.47282820896691
1187.5,0.8333333,1087.8691,18.08712639505996
2462.5,0.8333333,937.2362699999999,34.602333764504806
162.5,0.8333333,610.865,27.702363765038662
312.5,0.8333333,635.97046,18.93863551658867
1812.5,0.8333333,1263.6075,10.38378462625036
1687.5,0.8333333,1288.7131,19.297151575070135
712.5,0.8333333,937.2362699999999,11.276891300031435
1312.5,0.8333333,1188.2911,21.00125869353342
1237.5,0.8333333,1238.5021,24.202861314655838
2412.5,0.8333333,887.0253,15.228960727369328
812.5,0.8333333,1062.7637,15.23800612334885
1337.5,0.8333333,1263.6075,28.862695439345465
2212.5,0.8333333,937.2362699999999,15.808003749433308
412.5,0.8333333,786.6034,1.9801822313478445
2862.5,0.8333333,560.654,15.0365502095962
2862.5,0.8333333,610.865,13.78710230400119
2437.5,0.8333333,861.91986,20.09108885205112
1337.5,0.8333333,1188.2911,23.71557467354771
2012.5,0.8333333,1163.1857,1.8062581523134327
1162.5,0.8333333,1163.1857,21.30031415030561
37.5,0.8333333,661.0759,21.200792335336622
1187.5,0.8333333,1112.9747,10.238773098253589
