X,Y,Z,formation
0,0,200,rock1
0,500,200,rock1
0,1000,200,rock1
400,0,600,rock1
400,500,600,rock1
400,1000,600,rock1
200,0,400,rock1
200,500,400,rock1
200,1000,400,rock1
800,0,400,rock1
800,500,400,rock1
800,1000,400,rock1
600,0,600,rock1
600,500,600,rock1
600,1000,600,rock1
1000,0,200,rock1
1000,500,200,rock1
1000,1000,200,rock1
100,250,300,rock1
100,750,300,rock1
900,250,300,rock1
900,750,300,rock1
300,250,500,rock1
300,750,500,rock1
700,250,500,rock1
700,750,500,rock1
0,0,400,rock2
0,500,400,rock2
0,1000,400,rock2
1000,0,400,rock2
1000,500,400,rock2
1000,1000,400,rock2
400,0,800,rock2
400,500,800,rock2
400,1000,800,rock2
200,0,600,rock2
200,500,600,rock2
200,1000,600,rock2
600,0,800,rock2
600,500,800,rock2
600,1000,800,rock2
800,0,600,rock2
800,500,600,rock2
800,1000,600,rock2
100,250,500,rock2
100,750,500,rock2
900,250,500,rock2
900,750,500,rock2
300,250,700,rock2
300,750,700,rock2
700,250,700,rock2
700,750,700,rock2
