X,Y,Z,formation
0,0,400,rock1
0,10,400,rock1
0,20,400,rock1
100,0,500,rock1
100,10,500,rock1
100,20,500,rock1
200,0,600,rock1
200,10,600,rock1
200,20,600,rock1
800,0,600,rock1
800,10,600,rock1
800,20,600,rock1
900,0,500,rock1
900,10,500,rock1
900,20,500,rock1
1000,0,400,rock1
1000,10,400,rock1
1000,20,400,rock1
0,0,600,rock2
0,10,600,rock2
0,20,600,rock2
1000,0,600,rock2
1000,10,600,rock2
1000,20,600,rock2
100,0,700,rock2
100,10,700,rock2
100,20,700,rock2
900,0,700,rock2
900,10,700,rock2
900,20,700,rock2
200,0,701,rock3
200,10,701,rock3
200,20,701,rock3
500,0,701,rock3
500,10,701,rock3
500,20,701,rock3
800,0,701,rock3
800,10,701,rock3
800,20,701,rock3



